key	text	tooltip
#Loc;1;text/db/gam_event_feed_strings__.loc		
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_early_chaos_waste_primary_detail	Rumors from chaos waste	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_early_chaos_waste_secondary_detail	Other persistent rumors have reached you: Chaos waste would also recently be surrounded by stale air. Let's hope that this is not a warning sign of something...	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_mid_chaos_waste_primary_detail	Chaos waste infected	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_mid_chaos_waste_secondary_detail	Another chaotic wave was seen near the chaos waste. Unholy hordes worshiping dark gods have been summoned to the chaotic and desertic lands of the north, spreading death and desolation in their paths.	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_end_chaos_waste_primary_detail	Chaos waste doomed	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_end_chaos_waste_secondary_detail	Terrible news comes to you from chaos waste. The chaotic and desertic lands of the north has also been invaded by chaos. Rotten from within, the earth split open and a chaotic portal opened, spewing hordes of misshapen creatures.	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_early_naggaroth_primary_detail	Rumors from Naggaroth	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_early_naggaroth_secondary_detail	Other persistent rumors have reached you: Naggaroth would also recently be surrounded by stale air. Let's hope that this is not a warning sign of something...	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_mid_naggaroth_primary_detail	Naggaroth infected	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_mid_naggaroth_secondary_detail	Another chaotic wave was seen near Naggaroth. Unholy hordes worshiping dark gods have been summoned to the cold and forbidden lands of the dark elves, spreading death and desolation in their paths.	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_end_naggaroth_primary_detail	Naggaroth doomed	true
